,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
9,10.0,Portland Trail Blazers*,28.1,44.0,38.0,48,34,2.35,-0.14,2.21,106.0,103.5,2.5,92.6,0.347,0.203,0.528,,0.494,15.2,33.4,0.23,,0.478,13.5,73.4,0.236,,Rose Garden Arena,848055,20684
10,11.0,New York Knicks*,30.4,47.0,35.0,48,34,2.32,-0.08,2.24,106.0,103.5,2.5,91.0,0.306,0.201,0.55,,0.509,14.9,25.5,0.232,,0.476,14.8,71.1,0.251,,Madison Square Garden (IV),810283,19763
11,12.0,Houston Rockets*,29.0,48.0,34.0,46,36,1.74,-0.12,1.63,109.3,107.4,1.9,93.2,0.317,0.265,0.555,,0.512,14.1,26.9,0.243,,0.495,13.6,68.6,0.206,,The Summit,667840,16293
12,13.0,Miami Heat*,27.4,42.0,40.0,45,37,1.43,0.03,1.46,105.3,103.8,1.5,91.1,0.345,0.23,0.541,,0.501,16.0,30.1,0.245,,0.469,14.8,71.8,0.298,,Miami Arena,606088,14783
13,14.0,Atlanta Hawks*,28.1,46.0,36.0,45,37,1.22,0.07,1.29,109.4,108.0,1.4,89.6,0.302,0.239,0.534,,0.49,14.0,34.0,0.229,,0.512,16.3,67.1,0.217,,Omni Coliseum,496668,12114
14,15.0,Washington Bullets,24.8,39.0,43.0,44,38,1.06,-0.07,0.99,108.7,107.6,1.1,93.7,0.314,0.183,0.558,,0.521,15.0,28.2,0.228,,0.489,15.0,67.8,0.274,,USAir Arena,669598,17237
15,16.0,Phoenix Suns*,27.9,41.0,41.0,42,40,0.33,-0.05,0.28,110.3,110.0,0.3,93.2,0.37,0.147,0.551,,0.498,13.5,29.8,0.286,,0.511,13.3,71.4,0.225,,America West Arena,779943,19023
16,17.0,Charlotte Hornets,27.8,41.0,41.0,39,43,-0.57,0.09,-0.48,111.2,111.8,-0.6,91.6,0.32,0.23,0.558,,0.514,14.1,29.5,0.246,,0.529,13.9,70.3,0.217,,Charlotte Coliseum,985722,24042
17,18.0,Golden State Warriors,27.0,36.0,46.0,37,45,-1.45,0.03,-1.42,108.4,109.9,-1.5,93.4,0.349,0.179,0.539,,0.489,14.8,33.9,0.265,,0.51,15.2,67.2,0.232,,Oakland-Alameda County Coliseum Arena,616025,15025
18,19.0,Denver Nuggets,26.8,35.0,47.0,33,49,-2.71,0.09,-2.62,105.2,108.1,-2.9,92.2,0.326,0.172,0.526,,0.481,14.2,30.7,0.242,,0.492,12.8,72.7,0.237,,McNichols Sports Arena,675425,16474
19,20.0,Sacramento Kings*,26.6,39.0,43.0,33,49,-2.71,0.09,-2.62,106.2,109.1,-2.9,93.4,0.371,0.184,0.54,,0.493,16.0,32.5,0.271,,0.498,15.1,69.0,0.302,,ARCO Arena (II),709999,17317
20,21.0,Boston Celtics,26.3,33.0,49.0,32,50,-3.4,0.03,-3.37,106.4,109.9,-3.5,96.2,0.329,0.209,0.534,,0.494,14.1,28.8,0.235,,0.511,14.3,70.0,0.258,,FleetCenter,730842,17825
21,22.0,Los Angeles Clippers,25.2,29.0,53.0,31,51,-3.6,0.13,-3.46,106.5,110.3,-3.8,93.2,0.3,0.208,0.544,,0.511,15.3,29.3,0.21,,0.512,15.2,67.9,0.282,,Los Angeles Memorial Sports Arena,405495,9074
22,23.0,New Jersey Nets,27.4,30.0,52.0,29,53,-4.23,0.09,-4.14,101.9,106.5,-4.6,90.9,0.332,0.111,0.497,,0.445,15.1,36.4,0.248,,0.495,14.5,70.9,0.223,,Brendan Byrne Arena,638144,15564
23,24.0,Dallas Mavericks,25.1,26.0,56.0,28,54,-4.9,0.19,-4.71,106.1,111.2,-5.1,95.4,0.266,0.274,0.507,,0.47,13.3,34.1,0.192,,0.526,14.7,68.6,0.222,,Reunion Arena,684138,16686
24,25.0,Minnesota Timberwolves,26.4,26.0,56.0,26,56,-5.35,0.22,-5.14,104.1,109.8,-5.7,93.5,0.357,0.132,0.535,,0.48,16.0,29.8,0.277,,0.509,15.0,68.7,0.267,,Target Center,585669,14285
25,26.0,Milwaukee Bucks,27.5,25.0,57.0,26,56,-5.3,0.38,-4.92,105.6,111.5,-5.9,90.2,0.295,0.163,0.534,,0.495,15.0,29.7,0.218,,0.52,14.1,68.4,0.248,,Bradley Center,647088,15783
26,27.0,Toronto Raptors,26.1,21.0,61.0,21,61,-7.51,0.31,-7.2,103.8,111.8,-8.0,93.2,0.296,0.177,0.536,,0.499,17.2,32.0,0.214,,0.514,14.7,66.8,0.272,,SkyDome,950330,23483
27,28.0,Philadelphia 76ers,26.1,18.0,64.0,16,66,-10.0,0.55,-9.45,102.2,113.0,-10.8,92.2,0.353,0.224,0.522,,0.474,16.0,29.4,0.259,,0.522,14.4,65.0,0.217,,CoreStates Spectrum,476016,11935
28,29.0,Vancouver Grizzlies,27.2,15.0,67.0,15,67,-9.98,0.43,-9.55,97.6,108.5,-10.9,91.0,0.308,0.174,0.5,,0.456,15.5,27.3,0.223,,0.51,16.1,66.3,0.241,,General Motors Place,654013,17183
29,,League Average,27.6,,,41,41,0.0,0.0,0.0,107.6,107.6,,91.8,0.329,0.2,0.542,,0.499,14.7,30.6,0.243,,0.499,14.7,69.4,0.243,,,703139,17286
